Prodotto,Quantità,Prezzo Unitario,Città
Pomodori,9.0,47.12,Brescia
Insalata,29.0,35.66,Torino
Pasta,44.0,46.51,Venezia
Latte,26.0,31.81,Roma
Arance,23.0,17.13,Genova
Carote,35.0,31.01,Torino
Pane,34.0,17.75,Verona
Pane,39.0,23.81,Bari
Farina,23.0,41.11,Milano
Vino,29.0,37.73,Genova
Pesce,29.0,49.21,
Burro,4.0,2.02,
Caffè,43.0,9.7,Prato
Yogurt,36.0,29.62,Napoli
Burro,2.0,49.68,Prato
Pesce,29.0,49.21,
Pesce,21.0,2.1,Parma
Burro,4.0,2.02,
Olio d'oliva,7.0,34.02,Roma
Riso,28.0,32.01,
Carote,5.0,28.77,Torino
Pesce,13.0,25.68,Genova
Manzo,21.0,48.23,Palermo
Manzo,1.0,19.85,Bologna
Birra,18.0,42.63,Torino
